,RK,TEAM,RECORD,PTS,POLL,SEASON,WEEK,TITLE,TEAM_PARSED
2,1,Arizona (50),0-0,1773,AP Top 25,2002-03,Preseason,2003 NCAA Men's Basketball Rankings -  Preseason  (Nov. 11),Arizona
3,2,Kansas (14),0-0,1715,AP Top 25,2002-03,Preseason,2003 NCAA Men's Basketball Rankings -  Preseason  (Nov. 11),Kansas
4,3,Oklahoma (6),0-0,1640,AP Top 25,2002-03,Preseason,2003 NCAA Men's Basketball Rankings -  Preseason  (Nov. 11),Oklahoma
5,4,Texas,0-0,1422,AP Top 25,2002-03,Preseason,2003 NCAA Men's Basketball Rankings -  Preseason  (Nov. 11),Texas
6,5,Pittsburgh (1),0-0,1404,AP Top 25,2002-03,Preseason,2003 NCAA Men's Basketball Rankings -  Preseason  (Nov. 11),Pittsburgh
7,6,Duke,0-0,1394,AP Top 25,2002-03,Preseason,2003 NCAA Men's Basketball Rankings -  Preseason  (Nov. 11),Duke
8,7,Florida,0-0,1298,AP Top 25,2002-03,Preseason,2003 NCAA Men's Basketball Rankings -  Preseason  (Nov. 11),Florida
9,8,Alabama,0-0,1295,AP Top 25,2002-03,Preseason,2003 NCAA Men's Basketball Rankings -  Preseason  (Nov. 11),Alabama
10,9,Michigan State,0-0,1117,AP Top 25,2002-03,Preseason,2003 NCAA Men's Basketball Rankings -  Preseason  (Nov. 11),Michigan State
11,10,Xavier,0-0,1016,AP Top 25,2002-03,Preseason,2003 NCAA Men's Basketball Rankings -  Preseason  (Nov. 11),Xavier
12,11,Oregon,0-0,995,AP Top 25,2002-03,Preseason,2003 NCAA Men's Basketball Rankings -  Preseason  (Nov. 11),Oregon
13,12,Mississippi State (1),0-0,800,AP Top 25,2002-03,Preseason,2003 NCAA Men's Basketball Rankings -  Preseason  (Nov. 11),Mississippi State
14,13,Maryland,0-0,789,AP Top 25,2002-03,Preseason,2003 NCAA Men's Basketball Rankings -  Preseason  (Nov. 11),Maryland
15,14,UCLA,0-0,747,AP Top 25,2002-03,Preseason,2003 NCAA Men's Basketball Rankings -  Preseason  (Nov. 11),UCLA
16,15,Connecticut,0-0,722,AP Top 25,2002-03,Preseason,2003 NCAA Men's Basketball Rankings -  Preseason  (Nov. 11),Connecticut
17,16,Georgia,0-0,703,AP Top 25,2002-03,Preseason,2003 NCAA Men's Basketball Rankings -  Preseason  (Nov. 11),Georgia
18,17,Kentucky,0-0,627,AP Top 25,2002-03,Preseason,2003 NCAA Men's Basketball Rankings -  Preseason  (Nov. 11),Kentucky
19,18,Marquette,0-0,509,AP Top 25,2002-03,Preseason,2003 NCAA Men's Basketball Rankings -  Preseason  (Nov. 11),Marquette
20,19,Missouri,0-0,506,AP Top 25,2002-03,Preseason,2003 NCAA Men's Basketball Rankings -  Preseason  (Nov. 11),Missouri
21,20,Western Kentucky,0-0,480,AP Top 25,2002-03,Preseason,2003 NCAA Men's Basketball Rankings -  Preseason  (Nov. 11),Western Kentucky
22,21,Indiana,0-0,415,AP Top 25,2002-03,Preseason,2003 NCAA Men's Basketball Rankings -  Preseason  (Nov. 11),Indiana
23,22,Gonzaga,0-0,381,AP Top 25,2002-03,Preseason,2003 NCAA Men's Basketball Rankings -  Preseason  (Nov. 11),Gonzaga
24,23,Cincinnati,0-0,303,AP Top 25,2002-03,Preseason,2003 NCAA Men's Basketball Rankings -  Preseason  (Nov. 11),Cincinnati
25,24,Minnesota,0-0,183,AP Top 25,2002-03,Preseason,2003 NCAA Men's Basketball Rankings -  Preseason  (Nov. 11),Minnesota
26,25,Tulsa,0-0,146,AP Top 25,2002-03,Preseason,2003 NCAA Men's Basketball Rankings -  Preseason  (Nov. 11),Tulsa
2,1,Arizona (27),0-0,770,USA Today Coaches Poll,2002-03,Preseason,2003 NCAA Men's Basketball Rankings -  Preseason  (Nov. 11),Arizona
3,2,Kansas (3),0-0,740,USA Today Coaches Poll,2002-03,Preseason,2003 NCAA Men's Basketball Rankings -  Preseason  (Nov. 11),Kansas
4,3,Oklahoma (1),0-0,680,USA Today Coaches Poll,2002-03,Preseason,2003 NCAA Men's Basketball Rankings -  Preseason  (Nov. 11),Oklahoma
5,4,Pittsburgh,0-0,613,USA Today Coaches Poll,2002-03,Preseason,2003 NCAA Men's Basketball Rankings -  Preseason  (Nov. 11),Pittsburgh
6,5,Texas,0-0,583,USA Today Coaches Poll,2002-03,Preseason,2003 NCAA Men's Basketball Rankings -  Preseason  (Nov. 11),Texas
7,6,Duke,0-0,574,USA Today Coaches Poll,2002-03,Preseason,2003 NCAA Men's Basketball Rankings -  Preseason  (Nov. 11),Duke
8,7,Florida,0-0,554,USA Today Coaches Poll,2002-03,Preseason,2003 NCAA Men's Basketball Rankings -  Preseason  (Nov. 11),Florida
9,8,Alabama,0-0,494,USA Today Coaches Poll,2002-03,Preseason,2003 NCAA Men's Basketball Rankings -  Preseason  (Nov. 11),Alabama
10,9,Oregon,0-0,475,USA Today Coaches Poll,2002-03,Preseason,2003 NCAA Men's Basketball Rankings -  Preseason  (Nov. 11),Oregon
11,10,Michigan State,0-0,439,USA Today Coaches Poll,2002-03,Preseason,2003 NCAA Men's Basketball Rankings -  Preseason  (Nov. 11),Michigan State
12,11,Xavier,0-0,386,USA Today Coaches Poll,2002-03,Preseason,2003 NCAA Men's Basketball Rankings -  Preseason  (Nov. 11),Xavier
13,12,UCLA,0-0,322,USA Today Coaches Poll,2002-03,Preseason,2003 NCAA Men's Basketball Rankings -  Preseason  (Nov. 11),UCLA
14,13,Mississippi State,0-0,321,USA Today Coaches Poll,2002-03,Preseason,2003 NCAA Men's Basketball Rankings -  Preseason  (Nov. 11),Mississippi State
15,14,Connecticut,0-0,314,USA Today Coaches Poll,2002-03,Preseason,2003 NCAA Men's Basketball Rankings -  Preseason  (Nov. 11),Connecticut
16,15,Maryland,0-0,285,USA Today Coaches Poll,2002-03,Preseason,2003 NCAA Men's Basketball Rankings -  Preseason  (Nov. 11),Maryland
17,16,Georgia,0-0,269,USA Today Coaches Poll,2002-03,Preseason,2003 NCAA Men's Basketball Rankings -  Preseason  (Nov. 11),Georgia
18,17,Kentucky,0-0,262,USA Today Coaches Poll,2002-03,Preseason,2003 NCAA Men's Basketball Rankings -  Preseason  (Nov. 11),Kentucky
19,18,Missouri,0-0,221,USA Today Coaches Poll,2002-03,Preseason,2003 NCAA Men's Basketball Rankings -  Preseason  (Nov. 11),Missouri
20,19,Marquette,0-0,215,USA Today Coaches Poll,2002-03,Preseason,2003 NCAA Men's Basketball Rankings -  Preseason  (Nov. 11),Marquette
21,20,Cincinnati,0-0,168,USA Today Coaches Poll,2002-03,Preseason,2003 NCAA Men's Basketball Rankings -  Preseason  (Nov. 11),Cincinnati
